City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,laojunmiao,39.8333,97.7333,54.99,16,20,10.45,CN,1731558271
307,nova sintra,14.8667,-24.7167,78.33,68,100,16.53,CV,1731558272
308,kingscliff,-28.2667,153.5667,80.4,69,0,16.11,AU,1731558273
309,kabare,-2.4683,28.8242,60.04,91,68,2.48,CD,1731558274
310,ghormach,35.7306,63.7826,42.58,70,100,11.9,AF,1731558275
311,el porvenir,13.7617,-87.3458,70.72,95,92,4.0,HN,1731558276
312,lakatoro,-16.0999,167.4164,84.0,73,42,9.13,VU,1731558277
313,laibin,23.7,109.2667,87.39,47,9,3.89,CN,1731558278
314,sisimiut,66.9395,-53.6735,24.13,62,94,19.51,GL,1731558279
315,kolokani,13.5728,-8.0339,74.98,37,100,2.06,ML,1731558281
316,fushun,41.8558,123.9233,47.26,96,100,2.8,CN,1731558282
317,beni mellal,32.3373,-6.3498,57.7,84,54,2.44,MA,1731558283
318,las khorey,11.1595,48.1967,80.2,39,6,6.67,SO,1731558284
319,matoury,4.8483,-52.3317,76.96,100,0,0.0,GF,1731558285
320,gizo,-8.103,156.8419,84.58,68,46,0.98,SB,1731558286
321,zambezi,-13.5432,23.1047,64.99,95,99,3.91,ZM,1731558287
322,tostado,-29.232,-61.7692,68.99,53,43,7.72,AR,1731558288
323,camapua,-19.5314,-54.0439,70.32,69,2,4.0,BR,1731558289
324,sao joao da barra,-21.6403,-41.0511,72.75,92,100,8.39,BR,1731558290
325,essaouira,31.5125,-9.77,63.9,88,75,9.22,MA,1731558291
326,borzya,50.3833,116.5167,18.93,56,2,5.64,RU,1731558292
327,capao bonito,-24.0058,-48.3494,57.54,90,93,7.05,BR,1731558129
328,sidi khaled,34.387,4.9879,58.95,53,25,1.81,DZ,1731558294
329,vilyuchinsk,52.9306,158.4028,30.47,74,5,8.9,RU,1731558295
330,selfoss,63.9331,-20.9971,46.04,99,100,4.0,IS,1731558296
331,langepas,61.2544,75.2124,-7.33,98,47,3.71,RU,1731558297
332,karachi,24.9056,67.0822,80.42,69,1,0.0,PK,1731558122
333,mokrous,51.2333,47.5167,26.51,93,34,7.09,RU,1731558301
334,guantanamo,20.1444,-75.2092,76.57,95,61,4.21,CU,1731558302
335,turkmenbasy,40.0222,52.9552,30.97,86,0,0.0,TM,1731558303
336,vorkuta,67.5,64.0,-0.26,90,89,6.91,RU,1731558074
337,belomorsk,64.5232,34.7668,36.72,84,100,11.83,RU,1731558306
338,mchinji,-13.7984,32.8802,66.78,78,65,4.27,MW,1731558307
339,ryotsu-minato,38.0833,138.4333,55.89,62,7,5.75,JP,1731558308
340,kawambwa,-9.7915,29.0791,64.38,76,22,2.17,ZM,1731558309
341,hamilton,39.1834,-84.5333,51.76,93,100,5.99,US,1731558310
342,onega,63.9061,38.1404,37.8,89,100,13.8,RU,1731558311
343,la passe,45.5549,-0.8967,42.66,75,22,15.55,FR,1731558312
344,ranong,9.9658,98.6348,93.13,57,16,1.7,TH,1731558313
345,tomatlan,19.9333,-105.25,71.73,96,43,0.78,MX,1731558314
346,meulaboh,4.1363,96.1285,81.7,79,94,3.15,ID,1731558315
347,tromso,69.6496,18.957,39.22,70,100,34.52,NO,1731558316
348,pacific grove,36.6177,-121.9166,58.42,91,100,5.3,US,1731558317
349,tynda,55.1667,124.7167,14.86,78,100,7.96,RU,1731558318
350,soto la marina,23.7667,-98.2167,73.87,93,46,5.03,MX,1731558319
351,yoichi,43.2039,140.7703,47.44,59,41,7.92,JP,1731558320
352,brookings,44.3114,-96.7984,41.18,88,100,8.05,US,1731558322
353,okhotsk,59.3833,143.3,7.59,66,11,16.02,RU,1731558323
354,shizunai-furukawacho,42.3339,142.3669,45.03,60,63,3.44,JP,1731558281
355,nemuro,43.3236,145.575,43.56,66,28,11.18,JP,1731558325
356,yuktae-dong,40.0247,128.1597,55.8,63,100,6.15,KP,1731558326
357,sihanoukville,10.6093,103.5296,87.75,70,40,8.05,KH,1731558327
358,labytnangi,66.6572,66.4183,-18.0,100,100,0.38,RU,1731558328
359,nizhniy kuranakh,58.8353,125.4869,8.06,85,100,7.23,RU,1731558329
360,genhe,50.7833,121.5167,27.52,54,19,8.84,CN,1731558330
361,ballito,-29.539,31.2144,62.74,82,100,6.91,ZA,1731558331
